"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fragmented aperture imaging for motion and defocus deblurring","M. Martinello; P. Favaro","School of EPS, Heriot-Watt University, Edinburgh, UK; School of EPS, Heriot-Watt University, Edinburgh, UK",2011 18th IEEE International Conference on Image Processing,"29 Dec 2011","2011","","","3413","3416","In this paper we present a space-varying deblurring algorithm from a single defocused and motion-blurred image obtained with a fragmented aperture. We show that, for the same overall incoming light, a fragmented aperture leads to better motion and defocus deblurring than a (compact) conventional circular aperture. We demonstrate that not only fragmented apertures preserve more spectrum of an image of the scene than traditional circular apertures, but they also allow a better identification of blur scale. Our algorithm estimates both motion blur magnitude and direction as well as defocus blur scale at each pixel. The estimation of the blur parameters is addressed by using local projections on subspaces and L1 regularization, while deblurring is posed as a variational minimization problem and solved via linearization of the Euler-Lagrange equations. The technique produces convincing results on real scenario.","2381-8549","978-1-4577-1303-3","10.1109/ICIP.2011.6116444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6116444","motion-blur;defocus;single image;space-varying deblurring;coded aperture photography","Apertures;Kernel;Noise level;Cameras;Degradation;Lenses;Estimation","","3","","18","IEEE","29 Dec 2011","11-14 Sept. 2011","11-14 Sept. 2011","IEEE","IEEE Conferences"
"Aperture-coupled fragmented microstrip phased array","H. Dagan; R. Shavit; R. Yitzhak; O. Becker","Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; ELTA Sys. Ltd, Ashdod, Israel",2010 IEEE 26-th Convention of Electrical and Electronics Engineers in Israel,"13 Dec 2010","2010","","","000178","000181","An aperture-coupled fed fragmented infinite microstrip array is presented. Each element in this antenna consists of a fragmented patch on top, unlike a standard microstrip antenna array made of rectangular patches. The use of a fragmented patch allows obtaining a bandwidth of 58%. The fragmented patch acts as a set of coupled resonators supporting a broad range of frequencies. This antenna element is analyzed as a unit cell in a phased array, in a way that allows scanning within a range of θ = 0° ÷ 40°, in both planes (E and H).","","978-1-4244-8682-3","10.1109/EEEI.2010.5661894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5661894","microstrip antenna;fragmented;aperture-coupled;PSO algorithm;genetic algorithm","Optimization;Arrays;Substrates;Microstrip;Microstrip antenna arrays;Microstrip antennas;Gallium","","2","","5","IEEE","13 Dec 2010","17-20 Nov. 2010","17-20 Nov. 2010","IEEE","IEEE Conferences"
"Wide scan, integrated printed circuit board, fragmented aperture array antennas","J. G. Maloney; B. N. Baker; R. T. Lee; G. N. Kiesel; J. J. Acree","Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA",2011 IEEE International Symposium on Antennas and Propagation (APSURSI),"25 Aug 2011","2011","","","1965","1968","Over the last decade, fragmented aperture antennas have been developed to support bandwidths up to 33:1 and higher. Largely, these extreme bandwidth apertures have been developed to support receive applications. In this paper, we present a new design approach to increasing the scan volume to beyond 60 deg, a simplified printed circuit board fabrication approach, and a sample whole x-band (8-12 GHz) array antenna that demonstrates the new design and fabrication approach.","1947-1491","978-1-4244-9563-4","10.1109/APS.2011.5996889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5996889","wide scan arrays;wideband arrays;fragmented aperture antennas;spectral domain finite-difference time-domain;X-band array antenna;printed circuit board antenna","Arrays;Antenna arrays;Broadband antennas;Finite element methods;Aperture antennas;Antenna measurements","","20","3","6","IEEE","25 Aug 2011","3-8 July 2011","3-8 July 2011","IEEE","IEEE Conferences"
"Fragmented aperture antenna design of miniaturized GPS CRPA: model and measurements","J. G. Maloney; B. N. Baker; J. J. Acree; J. W. Schultz; J. A. Little; D. D. Reuster","Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Spectra Research, Dayton, OH, USA; Spectra Research, Dayton, OH, USA",2007 IEEE Antennas and Propagation Society International Symposium,"6 Dec 2007","2007","","","3784","3787","A new approach to developing miniaturized GPS antennas suitable for use in CRPA anti-jam arrays is presented. The approach leverages recent advances in fragmented aperture antenna design and manufacturing. This approach uses a combination of FDTD simulations combined with genetic optimization.","1947-1491","978-1-4244-0877-1","10.1109/APS.2007.4396363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4396363","Fragmented Aperture;Antenna;GPS;CRPA","Aperture antennas;Global Positioning System;Antenna measurements;Antenna arrays;Finite difference methods;Frequency;Time domain analysis;Jamming;Patch antennas;Radiofrequency interference","","6","2","6","IEEE","6 Dec 2007","9-15 June 2007","9-15 June 2007","IEEE","IEEE Conferences"
"A Broadband Array with Unbalanced Feeds : Elements and Power Combiners Based on the Fragmented Aperture Principle","D. Landgren; T. Brunasso; K. Allen; D. Dykes; J. Kovitz; J. Perez; J. Dee; J. Marsh; C. Hunter; G. Smith","Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; D & S Microwave Inc, Snellville, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA",2019 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting,"31 Oct 2019","2019","","","1223","1224","A fully combined, fixed-beam, ultra-wideband array with unbalanced feeds is described. Both the array elements and power combiners are based on the fragmented aperture principle. Each was designed separately using a genetic algorithm, then combined to form an integrated version of the array. Measured results are reported including realized gain, and beamwidths in the principal planes.","1947-1491","978-1-7281-0692-2","10.1109/APUSNCURSINRSM.2019.8888550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888550","antenna array;unbalanced feed;fragmented aperture;power combiner","Feeds;Gain;Apertures;Power combiners;Antenna arrays;Frequency measurement;Broadband antennas","","1","","4","IEEE","31 Oct 2019","7-12 July 2019","7-12 July 2019","IEEE","IEEE Conferences"
"The Optimum Design of A 3-10GHz Linear-polarized Fragmented Aperture Array with Integrated Balun","Y. Zang; M. Jin; X. Jiao","China Electronic Technology Group Corporation, Hefei, China; China Electronic Technology Group Corporation, Hefei, China; China Electronic Technology Group Corporation, Hefei, China",2019 International Symposium on Antennas and Propagation (ISAP),"20 Jan 2020","2019","","","1","3","A linear-polarized fragmented aperture array operating over 3-10GHz is presented. The array element uses an integrated balun proposed in the planar ultrawideband modular antenna (PUMA) array, without external balun or hybrid. The array element is optimized using the embedded genetic algorithm (GA) toolbox of MATLAB together with the software Ansoft HFSS. The simulated VSWR in the whole operating frequency band is less than 3. The cross-polarization level in the E-plane is lower than that of the H-plane. Cross-polarization levels remain more than 15dB below the co-polarization out to 60° for both planes.","","978-7-9009-1404-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8963490","fragmented aperture array;integrated balun;simulation","Apertures;Antenna arrays;Finite element analysis;Baluns;Feeds;Permittivity","","","","9","","20 Jan 2020","27-30 Oct. 2019","27-30 Oct. 2019","IEEE","IEEE Conferences"
"Characteristics of a broad-band wide-scan fragmented aperture phased array antenna","A. Ellgardt; P. Persson","Division of Electromagnetic Engineering, Royal Institute of Technology, Stockholm, Sweden; Division of Electromagnetic Engineering, Royal Institute of Technology, Stockholm, Sweden",2006 First European Conference on Antennas and Propagation,"1 Aug 2008","2006","","","1","5","In this paper a phased array antenna is described that is designed with the help of a genetic algorithm for scan angles out to 60° from broadside. The focus is on simplifying the manufacturing of the diagonally adjoining pixels and on numerical results for thin antennas. The effects of the corner to corner contacts are studied and results for two synthesized elements ar Test and measurement requirements on wireless devices","2164-3342","978-92-9092-937-6","10.1109/EUCAP.2006.4584710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4584710","fragmented aperture;broad-band;phased array;wide-scan","Phased arrays;Antenna arrays;Aperture antennas;Dielectric substrates;Manufacturing;Dielectric constant;Algorithm design and analysis;Genetic algorithms;Dielectric materials;Radar antennas","","6","2","7","","1 Aug 2008","6-10 Nov. 2006","6-10 Nov. 2006","IEEE","IEEE Conferences"
"Switched fragmented aperture antennas","J. C. Maloney; M. P. Kesler; L. M. Lust; L. N. Pringle; T. L. Fountain; P. H. Harms; G. S. Smith","Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Antennas and Propagation Society International Symposium. Transmitting Waves of Progress to the Next Millennium. 2000 Digest. Held in conjunction with: USNC/URSI National Radio Science Meeting (C,"6 Aug 2002","2000","1","","310","313 vol.1","This paper introduces a reconfigurable aperture concept derived from fragmented aperture design where the configuration of the fragmented aperture may be switched by the user to obtain different functionalities. A fragmented aperture antenna is a patchwork of discrete conducting and dielectric units distributed over the specified aperture. The arrangement of the units is determined using an efficient, multistage procedure that incorporates the genetic algorithm for optimization and the finite-difference time-domain method for the electromagnetic computation. Typically, the criterion for optimum performance has been broadband gain at a particular angle. The resulting antennas contain isolated scattering structures that are fragmented in appearance.","","0-7803-6369-8","10.1109/APS.2000.873823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=873823","","Aperture antennas;Switches;Testing;Performance gain;Bandwidth;Magnetic switching;Antenna measurements;Dielectrics;Genetic algorithms;Optimization methods","","38","3","3","IEEE","6 Aug 2002","16-21 July 2000","16-21 July 2000","IEEE","IEEE Conferences"
"Genetic algorithms for fragmented aperture antennas: A complete evaluation of a 24-bit design","J. G. Maloney; R. T. Lee; D. W. Landgren","Advanced Concepts Laboratory, Georgia Tech Research Institute, Atlanta, 30332, USA; Advanced Concepts Laboratoyr, Georgia Tech Research Institute, Atlanta, GA; Advanced Concepts Laboratoyr, Georgia Tech Research Institute, Atlanta, GA",2013 USNC-URSI Radio Science Meeting (Joint with AP-S Symposium),"20 Jan 2014","2013","","","115","115","GTRI has a long history pioneering a wideband antenna concept known as the fragmented aperture (FA). Unlike other concepts that use scale invariance to utilize a specific region of the aperture that changes with frequency (known as the active region), the FA is designed to utilize the entire aperture over the entire frequency band. The result is that FA antennas routinely approach the theoretical limit of antenna performance based on a uniformly illuminated aperture. However, because FAs consist of complex printed metallic patterns on single or multi layer substrates, the design necessarily is heavily simulation driven. Our proprietary design processes have been very successful in designing apertures for a wide variety of applications. The metallic pattern is described using a binary code (typically hundreds of bits), and the pattern is designed using a genetic algorithm on a large computer cluster. Because the design space for these antennas is enormous, it is unclear if a well-designed “good” antenna is near the best possible antenna. An additional question is whether or not our genetic search algorithms are efficiently searching the design space. To address these questions, over a decade ago GTRI researchers created a very limited antenna design that could be described using only 18 bits. Every possible antenna in this space was evaluated and algorithm convergence was proven. In the last decade, computers have been much more powerful, and our design process has evolved to allow much more complicated patterns. To update the previous results, ACL researchers recently used a large computer cluster to evaluate every possible antenna in a 24-bit design (2^24 possible antennas, which is 64 times larger than the previous dataset). The evaluation took nearly a month of cluster time and produced gigabytes of simulation results. Using this library of known solutions, we can quickly test design algorithms for convergence time. The encoding strategy is shown below. Bits 1–23 specify on/off regions of metal. The 24th bit specifies a choice of two feed regions (compare the cells marked 24 below). Detailed results based on this dataset will be presented at the conference.","","978-1-4799-1129-5","10.1109/USNC-URSI.2013.6715421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6715421","","Aperture antennas;Genetic algorithms;Computers;Clustering algorithms;Algorithm design and analysis","","2","","","IEEE","20 Jan 2014","7-13 July 2013","7-13 July 2013","IEEE","IEEE Conferences"
"An Iterative Non-local Denoising Method of SAR Image Based on Multi-resolution","H. Huang; P. Huang; X. Liu; F. Shao; S. Li; X. Lin","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Innovation Academy for Microsatellites of CAS, Shanghai, China; Innovation Academy for Microsatellites of CAS, Shanghai, China; Shanghai Institute of Satellite Engneering, Shanghai, China",2021 7th Asia-Pacific Conference on Synthetic Aperture Radar (APSAR),"26 Jan 2022","2021","","","1","5","Synthetic aperture radar (SAR) is an advanced remote sensor, which can observe the earth’s surface in all weather conditions, widely used in military reconnaissance and disaster rescue. However, due to the coherent summation of the return echoes and the random electromagnetic interference, a SAR image will be significantly affected by the noise, reducing the readability of the image. To deal with this issue, in this paper, we propose an iterative non-local denoising method based on multi-resolution. First, the cascade downsampling is performed to get the multi-resolution sub-images. Then, the 2-D discrete cosine transform is applied to each fragment segmented from the sub-images. After that, grouping the similar fragments by using the pHash algorithm. And the basic denoising image can be obtained by performing collaborative filtering and aggregating. Finally, a denoising image can be acquired after iterating processing. Real airborne SAR data is used to validate the effectiveness of the proposed method.","2474-2333","978-1-7281-7333-7","10.1109/APSAR52370.2021.9688378","Natural Science Foundation of Shanghai; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9688378","synthetic aperture radar (SAR);SAR image denoising;block-matching;image pyramid","Image segmentation;Collaborative filtering;Noise reduction;Electromagnetic interference;Reconnaissance;Radar polarimetry;Iterative methods","","1","","16","IEEE","26 Jan 2022","1-3 Nov. 2021","1-3 Nov. 2021","IEEE","IEEE Conferences"
