"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Wide scan, integrated printed circuit board, fragmented aperture array antennas","J. G. Maloney; B. N. Baker; R. T. Lee; G. N. Kiesel; J. J. Acree","Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA",2011 IEEE International Symposium on Antennas and Propagation (APSURSI),"25 Aug 2011","2011","","","1965","1968","Over the last decade, fragmented aperture antennas have been developed to support bandwidths up to 33:1 and higher. Largely, these extreme bandwidth apertures have been developed to support receive applications. In this paper, we present a new design approach to increasing the scan volume to beyond 60 deg, a simplified printed circuit board fabrication approach, and a sample whole x-band (8-12 GHz) array antenna that demonstrates the new design and fabrication approach.","1947-1491","978-1-4244-9563-4","10.1109/APS.2011.5996889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5996889","wide scan arrays;wideband arrays;fragmented aperture antennas;spectral domain finite-difference time-domain;X-band array antenna;printed circuit board antenna","Arrays;Antenna arrays;Broadband antennas;Finite element methods;Aperture antennas;Antenna measurements","","20","3","6","IEEE","25 Aug 2011","3-8 July 2011","3-8 July 2011","IEEE","IEEE Conferences"
"The Optimum Design of A 3-10GHz Linear-polarized Fragmented Aperture Array with Integrated Balun","Y. Zang; M. Jin; X. Jiao","China Electronic Technology Group Corporation, Hefei, China; China Electronic Technology Group Corporation, Hefei, China; China Electronic Technology Group Corporation, Hefei, China",2019 International Symposium on Antennas and Propagation (ISAP),"20 Jan 2020","2019","","","1","3","A linear-polarized fragmented aperture array operating over 3-10GHz is presented. The array element uses an integrated balun proposed in the planar ultrawideband modular antenna (PUMA) array, without external balun or hybrid. The array element is optimized using the embedded genetic algorithm (GA) toolbox of MATLAB together with the software Ansoft HFSS. The simulated VSWR in the whole operating frequency band is less than 3. The cross-polarization level in the E-plane is lower than that of the H-plane. Cross-polarization levels remain more than 15dB below the co-polarization out to 60° for both planes.","","978-7-9009-1404-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8963490","fragmented aperture array;integrated balun;simulation","Apertures;Antenna arrays;Finite element analysis;Baluns;Feeds;Permittivity","","","","9","","20 Jan 2020","27-30 Oct. 2019","27-30 Oct. 2019","IEEE","IEEE Conferences"
"Aperture-coupled fragmented microstrip phased array","H. Dagan; R. Shavit; R. Yitzhak; O. Becker","Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; Electrical and Computer Engineering Department, Ben-Gurion University of the Negev, Beer-Sheva, Israel; ELTA Sys. Ltd, Ashdod, Israel",2010 IEEE 26-th Convention of Electrical and Electronics Engineers in Israel,"13 Dec 2010","2010","","","000178","000181","An aperture-coupled fed fragmented infinite microstrip array is presented. Each element in this antenna consists of a fragmented patch on top, unlike a standard microstrip antenna array made of rectangular patches. The use of a fragmented patch allows obtaining a bandwidth of 58%. The fragmented patch acts as a set of coupled resonators supporting a broad range of frequencies. This antenna element is analyzed as a unit cell in a phased array, in a way that allows scanning within a range of θ = 0° ÷ 40°, in both planes (E and H).","","978-1-4244-8682-3","10.1109/EEEI.2010.5661894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5661894","microstrip antenna;fragmented;aperture-coupled;PSO algorithm;genetic algorithm","Optimization;Arrays;Substrates;Microstrip;Microstrip antenna arrays;Microstrip antennas;Gallium","","2","","5","IEEE","13 Dec 2010","17-20 Nov. 2010","17-20 Nov. 2010","IEEE","IEEE Conferences"
"A Broadband Array with Unbalanced Feeds : Elements and Power Combiners Based on the Fragmented Aperture Principle","D. Landgren; T. Brunasso; K. Allen; D. Dykes; J. Kovitz; J. Perez; J. Dee; J. Marsh; C. Hunter; G. Smith","Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; D & S Microwave Inc, Snellville, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA; Advanced Concepts Laboratory (ACL), Georgia Tech Research Institute (GTRI), Atlanta, GA",2019 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting,"31 Oct 2019","2019","","","1223","1224","A fully combined, fixed-beam, ultra-wideband array with unbalanced feeds is described. Both the array elements and power combiners are based on the fragmented aperture principle. Each was designed separately using a genetic algorithm, then combined to form an integrated version of the array. Measured results are reported including realized gain, and beamwidths in the principal planes.","1947-1491","978-1-7281-0692-2","10.1109/APUSNCURSINRSM.2019.8888550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8888550","antenna array;unbalanced feed;fragmented aperture;power combiner","Feeds;Gain;Apertures;Power combiners;Antenna arrays;Frequency measurement;Broadband antennas","","1","","4","IEEE","31 Oct 2019","7-12 July 2019","7-12 July 2019","IEEE","IEEE Conferences"
"Broadband planar Traveling-Wave Arrays (TWA) with 2-D elements","J. J. H. Wang","Wang Electro-Opto Corporation, Marietta, GA, USA",2010 IEEE International Symposium on Phased Array Systems and Technology,"28 Oct 2010","2010","","","586","592","This paper discusses latest design of broadband planar Traveling-Wave Array (TWA), a class of broadband planar phased array antennas using planar 2-dimensional (2-D) broadband traveling-wave antenna elements closely spaced above a conducting ground plane, for low cost and multioctave bandwidth. The TWA is fundamentally different from the other two 2-D broadband phased arrays: Current Sheet Antenna (CSA) and Fragmented Aperture (FA). TWA arose directly from antenna concept with an inherent ground plane, while CSA and FA evolved from scattering technology. TWA is much thinner and lighter than CSA and FA, roughly by a factor o 5 and 15, respectively. This study employs an empirical design approach based on the technique of Active Element Gain Pattern (AEGP). Measured data showed TWA's potential for broad bandwidth and wide-angle scan. Some controversies on AEGP in the literature are also clarified.","","978-1-4244-5127-2","10.1109/ARRAY.2010.5613307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5613307","","Broadband antennas;Phased arrays;Broadband communication;Planar arrays;Gain;Bandwidth","","7","1","26","IEEE","28 Oct 2010","12-15 Oct. 2010","12-15 Oct. 2010","IEEE","IEEE Conferences"
"Characteristics of a broad-band wide-scan fragmented aperture phased array antenna","A. Ellgardt; P. Persson","Division of Electromagnetic Engineering, Royal Institute of Technology, Stockholm, Sweden; Division of Electromagnetic Engineering, Royal Institute of Technology, Stockholm, Sweden",2006 First European Conference on Antennas and Propagation,"1 Aug 2008","2006","","","1","5","In this paper a phased array antenna is described that is designed with the help of a genetic algorithm for scan angles out to 60° from broadside. The focus is on simplifying the manufacturing of the diagonally adjoining pixels and on numerical results for thin antennas. The effects of the corner to corner contacts are studied and results for two synthesized elements ar Test and measurement requirements on wireless devices","2164-3342","978-92-9092-937-6","10.1109/EUCAP.2006.4584710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4584710","fragmented aperture;broad-band;phased array;wide-scan","Phased arrays;Antenna arrays;Aperture antennas;Dielectric substrates;Manufacturing;Dielectric constant;Algorithm design and analysis;Genetic algorithms;Dielectric materials;Radar antennas","","6","2","7","","1 Aug 2008","6-10 Nov. 2006","6-10 Nov. 2006","IEEE","IEEE Conferences"
"Broad-band fragmented aperture phased array element design using genetic algorithms","B. Thors; H. Steyskal; H. Holter","KI/EAB/TFF, Ericsson Research Limited, Stockholm, Sweden; Division of Electromagnetic Theory, Royal Institute of Technology, Stockholm, Sweden; Saab Bofors Dynamics AB, Stockholm, Sweden",IEEE Transactions on Antennas and Propagation,"3 Oct 2005","2005","53","10","3280","3287","In this paper, a synthesis procedure to design thin broad-band fragmented aperture array elements is described. The arrays are assumed to be infinite periodic and the elements consist of a conducting pattern etched on a dielectric backed by a groundplane. A genetic algorithm (GA) is used to design the conducting pattern, relative permittivity, and thickness of the dielectric substrate with respect to array scan and bandwidth performance. The fitness function in the GA is evaluated using a finite-difference time-domain code with periodic boundary conditions. For a substrate thicker than about 0.1 /spl lambda//sub L/ (/spl lambda//sub L/= wavelength at the lowest frequency in the frequency band investigated), it was found that a bandwidth of at least one octave can be obtained for arrays scanned within 45/spl deg/ from broadside.","1558-2221","","10.1109/TAP.2005.856340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1514583","Broad-band antennas;finite-difference time-domain (FDTD);genetic algorithm (GA);phased arrays","Phased arrays;Apertures;Algorithm design and analysis;Genetic algorithms;Dielectric substrates;Bandwidth;Frequency;Etching;Permittivity;Finite difference methods","","63","5","18","IEEE","3 Oct 2005","Oct. 2005","","IEEE","IEEE Journals"
"Topology Optimization of a Wideband Planar Phased Array Element Using Periodic Level Set Functions","C. T. Howard; A. Saad-Falcon; D. W. Landgren; K. W. Allen","Advanced Concepts Laboratory, Georgia Tech Research Institute, Atlanta, GA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA; Advanced Concepts Laboratory, Georgia Tech Research Institute, Atlanta, GA; Advanced Concepts Laboratory, Georgia Tech Research Institute, Atlanta, GA",2024 IEEE International Symposium on Phased Array Systems and Technology (ARRAY),"20 Feb 2025","2024","","","1","7","Adding complexity to the radiating surface of a planar phased array has the potential to extend the bandwidth of economical array designs, while allowing relative trade-offs between broadside gain, scan volume, and polarization purity to be more fully explored. This work introduces the use of the periodic level set function (p- Lsf)for antenna arrays, an approach which can describe complex material distributions through only a few continuously variable parameters, and applies it to the optimization of a broadband, single polarization, and unbalanced phased array element. The optimization and resulting element are compared against similar prior optimizations of a fragmented aperture antenna with equivalent bandwidth requirements. Finally, the scan performance of an 18x18 finite array (16x16 driven) with the optimized element is modeled and shown.","","979-8-3503-9214-2","10.1109/ARRAY58370.2024.10880330","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10880330","phased arrays;planar arrays;level set;genetic algorithms;broadband antennas;finite difference methods","Phased arrays;Fabrication;Level set;Ultra wideband antennas;Aperture antennas;Finite element analysis;Complexity theory;Broadband communication;Optimization;Wideband","","1","","17","IEEE","20 Feb 2025","15-18 Oct. 2024","15-18 Oct. 2024","IEEE","IEEE Conferences"
"Analysis of Target Vulnerability in Typical Phased Array Radar Antenna Arrays","Z. Liang; Y. Zhao; H. Zhao; Y. Qin","College of Equipment Engineering, Shenyang Ligong University, Shenyang, China; College of Equipment Engineering, Shenyang Ligong University, Shenyang, China; College of Equipment Engineering, Shenyang Ligong University, Shenyang, China; College of Equipment Engineering, Shenyang Ligong University, Shenyang, China",2025 5th International Conference on Electrical Engineering and Computer Technology (IC2ECT),"22 Dec 2025","2025","","","450","453","This study aims to provide data support for the survivability assessment and combat strategy optimization of typical phased array radars through target vulnerability analysis. This paper takes a typical ground-based phased array radar as an example to explore the damage mechanism of the radar caused by fragmentation loads and analyze the functional structure of the radar antenna array surface. Based on the principle of radar equations, classify the damage levels and damage criteria of radar antenna arrays. By comprehensively applying the methods of engineering calculation and numerical simulation, an equivalent model of radar antenna array surface damage was constructed. Through experimental research, it was proved that the error of the numerical simulation model was less than $5 \%$, and the simulation model was reasonable. Then, the m-v curves of the equivalent target plate penetrated by fragments of different masses were obtained.","","979-8-3315-7462-8","10.1109/IC2ECT66838.2025.11290901","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11290901","Target vulnerability;phased array radar;numerical simulation","Phased arrays;Atmospheric modeling;Airborne radar;Radar antennas;Numerical simulation;Mathematical models;Numerical models;Arrays;Antenna accessories;Optimization","","","","10","IEEE","22 Dec 2025","19-21 Sept. 2025","19-21 Sept. 2025","IEEE","IEEE Conferences"
"Super Fragmented Coprime Arrays for DOA Estimation","A. H. Shaikh; X. Liu","School of Microelectronics, Southern University of Science and Technology, Shenzhen, China; School of Microelectronics, Southern University of Science and Technology, Shenzhen, China",IEEE Signal Processing Letters,"6 May 2025","2025","32","","1825","1829","The coprime arrays (CA) offer attractive merits in enhancing the degrees of freedom (DOF) and reducing the mutual coupling compared to the uniform linear arrays, which improves the direction of arrival (DOA) estimation performance. However, multiple holes in the difference co-array of the CA cause a loss in DOF and estimation accuracy. This letter presents a super fragmented coprime array (SFCA) configuration, which effectively reconfigures the sensor locations of the existing fragmented coprime design and further increases the inter-subarray spacings. This minimizes the occurrence of holes and enhances the DOF, with the capability of mitigating mutual coupling effects almost identical to the fragmented coprime structure. The SFCA enjoys closed-form expressions for precise sensor locations and calculating the DOF. Simulation results confirm the benefits of the proposed SFCA over other coprime designs.","1558-2361","","10.1109/LSP.2025.3563118","Guangdong Provincial Key Laboratory of Integrated Circuits(grant numbers:2021KSY006); Shenzhen Science and Technology(grant numbers:JCYJ20220818100408018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10971926","DOA estimation;coprime arrays;mutual coupling;degrees of freedom;difference co-array","Mutual coupling;Sensor arrays;Estimation;Direction-of-arrival estimation;Array signal processing;Vectors;Sparse matrices;Data mining;Training;Interpolation","","6","","19","IEEE","21 Apr 2025","2025","","IEEE","IEEE Journals"
