"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Wide scan, integrated printed circuit board, fragmented aperture array antennas","J. G. Maloney; B. N. Baker; R. T. Lee; G. N. Kiesel; J. J. Acree","Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Laboratory, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA",2011 IEEE International Symposium on Antennas and Propagation (APSURSI),"25 Aug 2011","2011","","","1965","1968","Over the last decade, fragmented aperture antennas have been developed to support bandwidths up to 33:1 and higher. Largely, these extreme bandwidth apertures have been developed to support receive applications. In this paper, we present a new design approach to increasing the scan volume to beyond 60 deg, a simplified printed circuit board fabrication approach, and a sample whole x-band (8-12 GHz) array antenna that demonstrates the new design and fabrication approach.","1947-1491","978-1-4244-9563-4","10.1109/APS.2011.5996889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5996889","wide scan arrays;wideband arrays;fragmented aperture antennas;spectral domain finite-difference time-domain;X-band array antenna;printed circuit board antenna","Arrays;Antenna arrays;Broadband antennas;Finite element methods;Aperture antennas;Antenna measurements","","20","3","6","IEEE","25 Aug 2011","3-8 July 2011","3-8 July 2011","IEEE","IEEE Conferences"
"Wideband Circularly Polarized Fragmental E-Shaped Patch Antenna Optimized by Monte Carlo Method","T. Shu; L. Zhang; Z. Zheng; X. Zhu; J. Dong; W. Li; S. -W. Wong; Y. He","College of Electronics and Information Engineering, Shenzhen University, China; College of Electronics and Information Engineering, Shenzhen University, China; College of Electronics and Information Engineering, Shenzhen University, China; College of Electronics and Information Engineering, Shenzhen University, China; School of Computer Science and Engineering, Central South University, China; College of Electronics and Information Engineering, Shenzhen University, China; College of Electronics and Information Engineering, Shenzhen University, China; College of Electronics and Information Engineering, Shenzhen University, China",2021 International Conference on Microwave and Millimeter Wave Technology (ICMMT),"1 Dec 2021","2021","","","1","3","A method to improve the bandwidth of classical E-shaped circularly polarized patch antenna is proposed in this paper. By adding metallic fragments to the long slot of the E-shaped patch antenna and representing the fragments numerically in a matrix, the computer can automatically generate the antenna geometry and finds the best solution for a wider axial ratio (AR) bandwidth through Monte Carlo method. The simulation results show that the fragmental E-shaped patch antenna has much wider AR bandwidth (15.89%) than the conventional E-shaped patch antenna (7.28%) with the same size.","","978-1-6654-3437-9","10.1109/ICMMT52847.2021.9618178","National Natural Science Foundation of China; Natural Science Foundation of Guangdong Province; Natural Science Foundation of Hunan Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9618178","Circular polarization;E-shaped patch;fragment-type antenna;microstrip antennas;Monte Carlo method;wideband antenna","Microwave antennas;Microwave technology;Microwave integrated circuits;Monte Carlo methods;Slot antennas;Patch antennas;Simulation","","1","","9","IEEE","1 Dec 2021","23-26 May 2021","23-26 May 2021","IEEE","IEEE Conferences"
"Impedance analysis of the fragment-type tag antenna using FDTD","Jin Zusheng; Yang Hu; Tang Xingji; Mao Junjie","College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China","2008 8th International Symposium on Antennas, Propagation and EM Theory","16 Mar 2009","2008","","","260","262","The impedance matching between the tag antenna and the IC chip is a crucial problem attracting increasing attentions recently. This paper firstly presents a study on impedance calculation of a metal strip dipole using finite-difference time-domain (FDTD) method with unsplit perfectly matched layer (UPML) absorbing boundary condition. On this basis, the impedance characteristic of the fragment-type tag antenna is analyzed. More accurate results are obtained. Comparisons with the commercial software results show the accuracy and validity of the method.","","978-1-4244-2192-3","10.1109/ISAPE.2008.4735193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4735193","RFID;fragment-type tag antenna;FDTD","Finite difference methods;Time domain analysis;Radiofrequency identification;Dipole antennas;Broadband antennas;Impedance matching;Animals;Bandwidth;Microstrip antennas;Antenna feeds","","","","9","IEEE","16 Mar 2009","2-5 Nov. 2008","2-5 Nov. 2008","IEEE","IEEE Conferences"
"A Low-Profile Millimeter-Wave Broadband Magneto Electric Dipole Antenna With Fragmented Dipole Arm","S. Uk Oh; H. Yoo; T. H. Jang","School of Electrical Engineering, Hanyang University ERICA, Ansan, Republic of Korea; Department of Biomedical Engineering, Department of Electronic Engineering, Hanyang University, Seoul, Republic of Korea; School of Electrical Engineering, Hanyang University ERICA, Ansan, Republic of Korea",IEEE Transactions on Antennas and Propagation,"5 Feb 2025","2025","73","2","1203","1208","This study proposes a low-profile broadband millimeter-wave magneto-electric (ME) dipole antenna with a fragmented electric dipole arm. Although the antenna has a low-profile structure, the S11 bandwidth of the proposed antenna element is widened thanks to the additional resonance points at 25 GHz frequency by fragmenting the bowtie-shaped electric dipole. By adjusting the dimensions of the fragmented bowtie, the proposed antenna has widened S11 bandwidth and 3-dB gain bandwidth toward the low-frequency band. The proposed  $4\times 4$  antenna array achieves an S11 bandwidth of 41.8% covering from 25.5 to 39 GHz, a 3 dB gain bandwidth of 39.3% covering from 25.5 to 38 GHz, and a peak gain of 17.5 dBi. The cross-polarization and sidelobe levels (SLLs) are lower than −32 and −13 dB within the operating frequency, respectively.","1558-2221","","10.1109/TAP.2024.3493462","National Research Foundation of Korea (NRF); South Korean Government [Ministry of Science and Information and Communication Technology](grant numbers:RS-2024-00335614,RS-2024-00409492); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752911","Bowtie antenna magneto-electric (ME) dipole antenna;circle slot;fragmented dipole arm;millimeter-wave;wideband","Slot antennas;Dipole antennas;Magnetoelectric effects;Magnetic resonance;Bandwidth;Antennas and propagation;Broadband communication;Broadband antennas;Gain;Antenna arrays","","4","","33","IEEE","13 Nov 2024","Feb. 2025","","IEEE","IEEE Journals"
"Fragmented aperture antenna design of miniaturized GPS CRPA: model and measurements","J. G. Maloney; B. N. Baker; J. J. Acree; J. W. Schultz; J. A. Little; D. D. Reuster","Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Signature Technology Lab, Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA; Spectra Research, Dayton, OH, USA; Spectra Research, Dayton, OH, USA",2007 IEEE Antennas and Propagation Society International Symposium,"6 Dec 2007","2007","","","3784","3787","A new approach to developing miniaturized GPS antennas suitable for use in CRPA anti-jam arrays is presented. The approach leverages recent advances in fragmented aperture antenna design and manufacturing. This approach uses a combination of FDTD simulations combined with genetic optimization.","1947-1491","978-1-4244-0877-1","10.1109/APS.2007.4396363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4396363","Fragmented Aperture;Antenna;GPS;CRPA","Aperture antennas;Global Positioning System;Antenna measurements;Antenna arrays;Finite difference methods;Frequency;Time domain analysis;Jamming;Patch antennas;Radiofrequency interference","","6","2","6","IEEE","6 Dec 2007","9-15 June 2007","9-15 June 2007","IEEE","IEEE Conferences"
"Design of Sharp Roll-Off Band Notch With Fragment-Type Pattern Etched on UWB Antenna","Y. Du; X. Wu; J. Sidén; G. Wang","Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China; Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China; Department of Electronics Design, Mid Sweden University, Sundsvall, Sweden; Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China",IEEE Antennas and Wireless Propagation Letters,"29 Nov 2018","2018","17","12","2404","2408","Fragment-type etch patterns are proposed and designed on an ultrawideband planar antenna to acquire sharp roll-off band notch. Multiobjective evolutionary algorithm is applied to achieve the optimization searching of the best fragment-type etch pattern by setting multiple objectives to acquire the exact notched band and challenge the roll-off criterion (ROC) of band notch. Efficiency of the design can be improved by properly presetting slits on the patch radiator. For demonstration, designs with different slit presetting are implemented and tested. With single slit preset, the band notch of ROC = 0.72 at the wireless local area networks (WLAN) band ranging from 5.15 to 5.85 GHz is acquired.","1548-5757","","10.1109/LAWP.2018.2876630","National Natural Science Foundation of China(grant numbers:61671421); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494805","Antenna;band notch;fragment-type structure;multiobjective optimization;ultrawideband (UWB) antenna","Ultra wideband antennas;Optimization;Wireless LAN;Etching;Linear programming;Wireless communication;Bandwidth","","20","","17","IEEE","17 Oct 2018","Dec. 2018","","IEEE","IEEE Journals"
"Distributed Mobile Antennas: A Novel Miniaturized Wideband Antenna Strategy to Maximize the Use of the Fragmented Spaces of the Mobile Terminals","S. Gao; L. Chang; S. Gao; A. Zhang","Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, School of Information and Communications Engineering, Xi’an Jiaotong University, Xi’an, China; Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, School of Information and Communications Engineering, Xi’an Jiaotong University, Xi’an, China; Department of Electronic Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong; Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, School of Information and Communications Engineering, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Antennas and Propagation,"6 Sep 2024","2024","72","9","7017","7029","The contradiction between numerous antennas and limited antenna space in mobile terminals has prompted the exploration of the back cover space. However, the available spaces are segmented into fragmented pieces by the electronic components inside the terminal. This article addresses the problem of how to utilize these fragmented spaces efficiently. A novel miniaturized wideband antenna strategy called distributed mobile antennas is proposed and the distributed two-element antennas are introduced. By assigning a 90° phase difference, the reflections looking toward these two antennas are equal in magnitude but opposite in phase, leading to reflection cancellation. Therefore, wideband matching can be achieved and the bandwidth can be further improved by introducing the degree of freedom of the element size consistency. When the proposed strategy is applied to a normal patch, the measured results show that the impedance bandwidths are improved by  $3.6\times $  and  $4.6\times $  for the identical and dissimilar patch cases, respectively. When applied to a miniaturized patch, the bandwidths are improved by  $6.0\times $  and  $6.9\times $ . Moreover, due to the dispersion of hotspots by distributed two-element antennas, the specific absorption rate (SAR) achieves great average reductions of 1.4–2.4 dB. The proposed wideband strategy has great potential for applications in modern 5G mobile terminals.","1558-2221","","10.1109/TAP.2024.3433530","National Natural Science Foundation of China(grant numbers:62101427,U22BB2016); National Key Research and Development Program of China(grant numbers:2021YFB3900102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10618984","Distributed mobile antennas;low-profile antennas;miniaturized antennas;wideband antennas","Antenna arrays;Mobile antennas;Antennas;Impedance;Broadband antennas;Reflection;Reflector antennas","","15","","49","IEEE","31 Jul 2024","Sept. 2024","","IEEE","IEEE Journals"
"Broadband fragmented cylindrical antennas","M. D. Gregory; D. H. Werner; D. Matz; W. Schuppert","Department of Electrical Engineering, The Pennsylvania State University, University Park, PA, United States; Department of Electrical Engineering, The Pennsylvania State University, University Park, PA, United States; Antenna Research Associates, Inc., Beltsville, MD, United States; Antenna Research Associates, Inc., Beltsville, MD, United States",2015 IEEE International Symposium on Antennas and Propagation & USNC/URSI National Radio Science Meeting,"26 Oct 2015","2015","","","2005","2006","A new type of fragmented cylindrical antenna geometry is introduced that can be applied to common monopole and dipole antennas. Metallic regions of a cylindrical conductor are selectively removed in order to generate alternate current paths that can allow for increased operating bandwidth. Here, the metal patterning is optimized using the covariance matrix adaptation evolutionary strategy (CMA-ES) and a method-of-moments simulation tool to obtain antennas with a large operating bandwidth and quality radiation patterns.","1947-1491","978-1-4799-7815-1","10.1109/APS.2015.7305392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7305392","","Antenna radiation patterns;Dipole antennas;Broadband antennas;Metals;Gain;Bandwidth","","","","5","IEEE","26 Oct 2015","19-24 July 2015","19-24 July 2015","IEEE","IEEE Conferences"
"Suppressing mutual coupling of MIMO antennas with parasitic fragment-type elements","L. Wang; G. Wang; Q. Zhao","Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China; Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China; Department of Electronic Engineering and Information Science, University of Science and Technology of China, Hefei, China",2016 46th European Microwave Conference (EuMC),"19 Jan 2017","2016","","","1303","1306","Parasitic fragment-type element can be used in suppressing mutual coupling of multiple-input multiple-output (MIMO) antennas. By gridding a specific design space between MIMO antennas into fragment cells, and metalizing some of the cells selected by multi-objective optimization searching, parasitic fragment-type isolation element can be designed to acquire desired isolation and return losses. For demonstration, a parasitic fragment-type isolation element for closely spaced printed monopoles operating at 2.45 GHz is designed and verified by test. The proposed parasitic fragment-type element achieves maximum isolation 29 dB, and isolation higher 16 dB in the operation band. Besides, due to its flexibility and versatility, fragment-type structure can be applied in forming miniaturized element of high isolation.","","978-2-87487-043-9","10.1109/EuMC.2016.7824590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7824590","Antenna isolation;mutual coupling;MIMO systems;parasitic fragment-type element","MIMO;Mutual coupling;Antenna radiation patterns;Optimization;Correlation coefficient;Scattering parameters","","16","","9","","19 Jan 2017","4-6 Oct. 2016","4-6 Oct. 2016","IEEE","IEEE Conferences"
"Binary-Coded Genetic Algorithm Optimization for UHF RFID Tag Antenna Design","M. Alias; S. Subahir; N. H. A. Rahman","Antenna Research Centre (ARC) School of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Antenna Research Centre (ARC) School of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Antenna Research Centre (ARC) School of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",2023 IEEE International Symposium On Antennas And Propagation (ISAP),"22 Jan 2024","2023","","","1","2","This paper proposes a fragmented Ultra High Frequency (UHF) Radio Frequency Identification (RFID) tag antenna design. A fragmented design is portrayed to enhance the conjugate matching between chip impedance and antenna impedance utilizing the Binary Genetic Algorithm (BGA) method. The substrate used is Rogers 5880 with a thickness of 1.57mm and a relative permittivity of 2.2. The chip used is NXP Ucode 8 with a chip impedance of 13-j191 Ω. The framework is implemented in MATLAB and verified by CST simulation software. In the proposed design, the resonant frequency is at 909MHz without a chip footprint, whereas with the inclusion of a chip footprint, the resonant frequency shifts to 917MHz. Profound results are obtained utilizing the BGA method with the chip footprint where the reflection coefficient (S11) is -21.11dB, maximum power transfer of 0.99, and antenna impedance of 11.08+j191.91 Ω.","","979-8-3503-4114-0","10.1109/ISAP57493.2023.10388607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10388607","tag;RFID;genetic algorithm;binary;fragmented","Resonant frequency;UHF antennas;Reflector antennas;Software;Reflection coefficient;Impedance;RFID tags","","2","","4","IEEE","22 Jan 2024","30 Oct.-2 Nov. 2023","30 Oct.-2 Nov. 2023","IEEE","IEEE Conferences"
